ICD9|ICD10|Description
516.35|J84.2|Lymphoid interstitial pneumonia
516.36|J84.116|Cryptogenic organizing pneumonia
516.37|J84.117|Desquamative interstitial pneumonia
516.4|J84.81|Lymphangioleiomyomatosis
516.5|J84.82|Adult pulmonary Langerhans cell histiocytosis
516.61|J84.841|Neuroendocrine cell hyperplasia of infancy
516.62|J84.842|Pulmonary interstitial glycogenosis
516.63|J84.83|Surfactant mutations of the lung
516.64|J84.843|Alveolar capillary dysplasia with vein misalignment
516.69|J84.848|Other interstitial lung diseases of childhood
516.8|J84.09|Diagnostico no disponible
516.9|J84.9|Interstitial pulmonary disease, unspecified
517.1|J17|Pneumonia in diseases classified elsewhere
517.2|M34.81|Systemic sclerosis with lung involvement
517.3|J99|Respiratory disorders in diseases classified elsewhere
517.8|J99|Respiratory disorders in diseases classified elsewhere
518.0|J98.11|Atelectasis
518.0|J98.19|Diagnostico no disponible
518.1|J98.2|Interstitial emphysema
518.2|J98.3|Compensatory emphysema
518.3|J82|Pulmonary eosinophilia, not elsewhere classified
518.4|J81.0|Acute pulmonary edema
518.51|J95.821|Acute postprocedural respiratory failure
518.51|J96.00|Diagnostico no disponible
518.52|J95.1|Acute pulmonary insufficiency following thoracic surgery
518.52|J95.2|Diagnostico no disponible
518.52|J95.3|Diagnostico no disponible
518.53|J95.822|Acute and chronic postprocedural respiratory failure
518.53|J96.20|Diagnostico no disponible
518.6|B44.81|Allergic bronchopulmonary aspergillosis
518.7|J95.84|Transfusion-related acute lung injury (TRALI)
518.81|J96.00|Acute respiratory failure, unspecified whether with hypoxia or hypercapnia
518.81|J96.90|Diagnostico no disponible
518.82|J80|Acute respiratory distress syndrome
518.83|J96.10|Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia
518.84|J96.20|Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia
518.89|J98.4|Other disorders of lung
519.00|J95.00|Unspecified tracheostomy complication
519.01|J95.02|Infection of tracheostomy stoma
519.02|J95.03|Malfunction of tracheostomy stoma
519.09|J95.01|Hemorrhage from tracheostomy stoma
519.09|J95.03|Diagnostico no disponible
519.09|J95.04|Diagnostico no disponible
519.09|J95.09|Diagnostico no disponible
519.11|J98.01|Acute bronchospasm
519.19|J39.8|Other specified diseases of upper respiratory tract
519.19|J98.09|Diagnostico no disponible
519.2|J98.5|Diseases of mediastinum, not elsewhere classified
519.3|J98.5|Diseases of mediastinum, not elsewhere classified
519.4|J98.6|Disorders of diaphragm
519.8|J98.8|Other specified respiratory disorders
519.9|J98.9|Respiratory disorder, unspecified
520.0|K00.0|Anodontia
520.1|K00.1|Supernumerary teeth
520.2|K00.2|Abnormalities of size and form of teeth
520.3|K00.3|Mottled teeth
520.4|K00.4|Disturbances in tooth formation
520.5|K00.5|Hereditary disturbances in tooth structure, not elsewhere classified
520.6|K00.6|Disturbances in tooth eruption
520.6|K01.0|Diagnostico no disponible
520.6|K01.1|Diagnostico no disponible
520.7|K00.7|Teething syndrome
520.8|K00.8|Other disorders of tooth development
520.9|K00.9|Disorder of tooth development, unspecified
521.00|K02.9|Dental caries, unspecified
521.01|K02.61|Dental caries on smooth surface limited to enamel
521.02|K02.62|Dental caries on smooth surface penetrating into dentin
521.03|K02.63|Dental caries on smooth surface penetrating into pulp
521.04|K02.3|Arrested dental caries
521.05|K03.89|Other specified diseases of hard tissues of teeth
521.06|K02.51|Dental caries on pit and fissure surface limited to enamel
521.07|K02.61|Dental caries on smooth surface limited to enamel
521.07|K02.62|Diagnostico no disponible
521.07|K02.63|Diagnostico no disponible
521.08|K02.7|Dental root caries
521.09|K02.9|Dental caries, unspecified
521.10|K03.0|Excessive attrition of teeth
521.11|K03.0|Excessive attrition of teeth
521.12|K03.0|Excessive attrition of teeth
521.13|K03.0|Excessive attrition of teeth
521.14|K03.0|Excessive attrition of teeth
521.15|K03.0|Excessive attrition of teeth
521.20|K03.1|Abrasion of teeth
521.21|K03.1|Abrasion of teeth
521.22|K03.1|Abrasion of teeth
521.23|K03.1|Abrasion of teeth
521.24|K03.1|Abrasion of teeth
521.25|K03.1|Abrasion of teeth
521.30|K03.2|Erosion of teeth
521.31|K03.2|Erosion of teeth
521.32|K03.2|Erosion of teeth
521.33|K03.2|Erosion of teeth
521.34|K03.2|Erosion of teeth
521.35|K03.2|Erosion of teeth
521.40|K03.3|Pathological resorption of teeth
521.41|K03.3|Pathological resorption of teeth
521.42|K03.3|Pathological resorption of teeth
521.49|K03.3|Pathological resorption of teeth
521.5|K03.4|Hypercementosis
521.6|K03.5|Ankylosis of teeth
521.7|K03.7|Posteruptive color changes of dental hard tissues
521.81|K03.81|Cracked tooth
521.89|K03.89|Other specified diseases of hard tissues of teeth
521.9|K03.9|Disease of hard tissues of teeth, unspecified
522.0|K04.0|Pulpitis
522.1|K04.1|Necrosis of pulp
522.2|K04.2|Pulp degeneration
522.3|K04.3|Abnormal hard tissue formation in pulp
522.4|K04.4|Acute apical periodontitis of pulpal origin
522.5|K04.7|Periapical abscess without sinus
522.6|K04.5|Chronic apical periodontitis
522.7|K04.6|Periapical abscess with sinus
522.8|K04.8|Radicular cyst
522.9|K04.90|Unspecified diseases of pulp and periapical tissues
522.9|K04.99|Diagnostico no disponible
523.00|K05.00|Acute gingivitis, plaque induced
523.01|K05.01|Acute gingivitis, non-plaque induced
523.10|K05.10|Chronic gingivitis, plaque induced
523.11|K05.11|Chronic gingivitis, non-plaque induced
523.20|K06.0|Gingival recession
523.21|K06.0|Gingival recession
523.22|K06.0|Gingival recession
523.23|K06.0|Gingival recession
523.24|K06.0|Gingival recession
523.25|K06.0|Gingival recession
523.30|K05.20|Aggressive periodontitis, unspecified
523.31|K05.21|Aggressive periodontitis, localized
523.32|K05.22|Aggressive periodontitis, generalized
523.33|K05.20|Aggressive periodontitis, unspecified
523.40|K05.30|Chronic periodontitis, unspecified
523.41|K05.31|Chronic periodontitis, localized
523.42|K05.32|Chronic periodontitis, generalized
523.5|K05.4|Periodontosis
523.6|K03.6|Deposits [accretions] on teeth
523.8|K05.5|Other periodontal diseases
523.8|K06.1|Diagnostico no disponible
523.8|K06.2|Diagnostico no disponible
523.9|K05.6|Periodontal disease, unspecified
524.00|M26.00|Unspecified anomaly of jaw size
524.01|M26.01|Maxillary hyperplasia
524.02|M26.03|Mandibular hyperplasia
524.03|M26.02|Maxillary hypoplasia
524.04|M26.04|Mandibular hypoplasia
524.05|M26.05|Macrogenia
524.06|M26.06|Microgenia
524.07|M26.07|Excessive tuberosity of jaw
524.09|M26.09|Other specified anomalies of jaw size
524.10|M26.10|Unspecified anomaly of jaw-cranial base relationship
524.11|M26.11|Maxillary asymmetry
524.12|M26.12|Other jaw asymmetry
524.19|M26.19|Other specified anomalies of jaw-cranial base relationship
524.20|M26.20|Unspecified anomaly of dental arch relationship
524.21|M26.211|Malocclusion, Angle's class I
524.22|M26.212|Malocclusion, Angle's class II
524.23|M26.213|Malocclusion, Angle's class III
524.24|M26.220|Open anterior occlusal relationship
524.25|M26.221|Open posterior occlusal relationship
524.26|M26.23|Excessive horizontal overlap
524.27|M26.24|Reverse articulation
524.28|M26.25|Anomalies of interarch distance
524.29|M26.29|Diagnostico no disponible
524.30|M26.30|Unspecified anomaly of tooth position of fully erupted tooth or teeth
524.31|M26.31|Crowding of fully erupted teeth
524.32|M26.32|Excessive spacing of fully erupted teeth
524.33|M26.33|Horizontal displacement of fully erupted tooth or teeth
524.34|M26.34|Vertical displacement of fully erupted tooth or teeth
524.35|M26.35|Rotation of fully erupted tooth or teeth
524.36|M26.36|Insufficient interocclusal distance of fully erupted teeth (ridge)
524.37|M26.37|Excessive interocclusal distance of fully erupted teeth
524.39|M26.39|Other anomalies of tooth position of fully erupted tooth or teeth
524.4|M26.4|Malocclusion, unspecified
524.50|M26.50|Dentofacial functional abnormalities, unspecified
524.51|M26.51|Abnormal jaw closure
524.52|M26.52|Limited mandibular range of motion
524.53|M26.53|Deviation in opening and closing of the mandible
524.54|M26.54|Insufficient anterior guidance
524.55|M26.55|Centric occlusion maximum intercuspation discrepancy
524.56|M26.56|Non-working side interference
524.57|M26.57|Lack of posterior occlusal support
524.59|M26.59|Other dentofacial functional abnormalities
524.60|M26.60|Temporomandibular joint disorder, unspecified
524.60|M26.69|Diagnostico no disponible
524.61|M26.61|Adhesions and ankylosis of temporomandibular joint
524.62|M26.62|Arthralgia of temporomandibular joint
524.63|M26.63|Articular disc disorder of temporomandibular joint
524.64|M26.69|Other specified disorders of temporomandibular joint
524.69|M26.69|Other specified disorders of temporomandibular joint
524.70|M26.70|Unspecified alveolar anomaly
524.71|M26.71|Alveolar maxillary hyperplasia
524.72|M26.72|Alveolar mandibular hyperplasia
524.73|M26.73|Alveolar maxillary hypoplasia
524.74|M26.74|Alveolar mandibular hypoplasia
524.75|M26.79|Other specified alveolar anomalies
524.76|M26.79|Other specified alveolar anomalies
524.79|M26.79|Other specified alveolar anomalies
524.81|M26.81|Anterior soft tissue impingement
524.82|M26.82|Posterior soft tissue impingement
524.89|M26.4|Diagnostico no disponible
524.89|M26.89|Other dentofacial anomalies
524.9|M26.9|Dentofacial anomaly, unspecified
525.0|K08.0|Exfoliation of teeth due to systemic causes
525.10|K08.109|Complete loss of teeth, unspecified cause, unspecified class
525.11|K08.419|Partial loss of teeth due to trauma, unspecified class
525.12|K08.429|Partial loss of teeth due to periodontal diseases, unspecified class
525.13|K08.439|Partial loss of teeth due to caries, unspecified class
525.19|K08.499|Partial loss of teeth due to other specified cause, unspecified class
525.20|K08.20|Unspecified atrophy of edentulous alveolar ridge
525.21|K08.21|Minimal atrophy of the mandible
525.22|K08.22|Moderate atrophy of the mandible
525.23|K08.23|Severe atrophy of the mandible
525.24|K08.24|Minimal atrophy of maxilla
525.25|K08.25|Moderate atrophy of the maxilla
525.26|K08.26|Severe atrophy of the maxilla
525.3|K08.3|Retained dental root
525.40|K08.109|Complete loss of teeth, unspecified cause, unspecified class
525.41|K08.101|Complete loss of teeth, unspecified cause, class I
525.42|K08.102|Complete loss of teeth, unspecified cause, class II
525.43|K08.103|Complete loss of teeth, unspecified cause, class III
525.44|K08.104|Complete loss of teeth, unspecified cause, class IV
525.50|K08.409|Partial loss of teeth, unspecified cause, unspecified class
525.51|K08.401|Partial loss of teeth, unspecified cause, class I
525.52|K08.402|Partial loss of teeth, unspecified cause, class II
525.53|K08.403|Partial loss of teeth, unspecified cause, class III
525.54|K08.404|Partial loss of teeth, unspecified cause, class IV
525.60|K08.50|Unsatisfactory restoration of tooth, unspecified
525.61|K08.51|Open restoration margins of tooth
525.62|K08.52|Unrepairable overhanging of dental restorative materials
525.63|K08.530|Fractured dental restorative material without loss of material
525.64|K08.531|Fractured dental restorative material with loss of material
525.65|K08.54|Contour of existing restoration of tooth biologically incompatible with oral health
525.66|K08.55|Allergy to existing dental restorative material
525.67|K08.56|Poor aesthetic of existing restoration of tooth
525.69|K08.59|Other unsatisfactory restoration of tooth
525.71|M27.61|Osseointegration failure of dental implant
525.72|M27.62|Post-osseointegration biological failure of dental implant
525.73|M27.63|Post-osseointegration mechanical failure of dental implant
525.79|M27.69|Other endosseous dental implant failure
525.8|K08.8|Diagnostico no disponible
525.8|M26.79|Other specified alveolar anomalies
525.9|K08.9|Disorder of teeth and supporting structures, unspecified
526.0|K09.0|Developmental odontogenic cysts
526.1|K09.1|Developmental (nonodontogenic) cysts of oral region
526.2|M27.49|Other cysts of jaw
526.3|M27.1|Giant cell granuloma, central
526.4|M27.2|Inflammatory conditions of jaws
526.5|M27.3|Alveolitis of jaws
526.61|M27.51|Perforation of root canal space due to endodontic treatment
526.62|M27.52|Endodontic overfill
526.63|M27.53|Endodontic underfill
526.69|M27.59|Other periradicular pathology associated with previous endodontic treatment
526.81|M27.8|Other specified diseases of jaws
526.89|M27.8|Other specified diseases of jaws
526.9|M27.9|Disease of jaws, unspecified
527.0|K11.0|Atrophy of salivary gland
527.1|K11.1|Hypertrophy of salivary gland
527.2|K11.20|Sialoadenitis, unspecified
527.3|K11.3|Abscess of salivary gland
527.4|K11.4|Fistula of salivary gland
527.5|K11.5|Sialolithiasis
527.6|K11.6|Mucocele of salivary gland
527.7|K11.7|Disturbances of salivary secretion
527.7|R68.2|Diagnostico no disponible
527.8|K11.8|Other diseases of salivary glands
527.9|K11.9|Disease of salivary gland, unspecified
528.00|K12.2|Diagnostico no disponible
528.00|K12.30|Oral mucositis (ulcerative), unspecified
528.01|K12.31|Oral mucositis (ulcerative) due to antineoplastic therapy
528.01|K12.33|Diagnostico no disponible
528.02|K12.32|Oral mucositis (ulcerative) due to other drugs
528.09|K12.1|Diagnostico no disponible
528.09|K12.39|Other oral mucositis (ulcerative)
528.1|A69.0|Necrotizing ulcerative stomatitis
528.2|K12.0|Recurrent oral aphthae
528.3|K12.2|Cellulitis and abscess of mouth
528.4|K09.8|Other cysts of oral region, not elsewhere classified
528.5|K13.0|Diseases of lips
528.6|K13.21|Leukoplakia of oral mucosa, including tongue
528.71|K13.22|Minimal keratinized residual ridge mucosa
528.72|K13.23|Excessive keratinized residual ridge mucosa
528.79|K13.29|Other disturbances of oral epithelium, including tongue
528.8|K13.5|Oral submucous fibrosis
528.9|K13.70|Unspecified lesions of oral mucosa
528.9|K13.79|Diagnostico no disponible
529.0|K14.0|Glossitis
529.1|K14.1|Geographic tongue
529.2|K14.2|Median rhomboid glossitis
529.3|K14.3|Hypertrophy of tongue papillae
529.4|K14.4|Atrophy of tongue papillae
529.5|K14.5|Plicated tongue
529.6|K14.6|Glossodynia
529.8|K14.8|Other diseases of tongue
529.9|K14.9|Disease of tongue, unspecified
530.0|K22.0|Achalasia of cardia
530.10|K20.9|Esophagitis, unspecified
530.11|K21.0|Gastro-esophageal reflux disease with esophagitis
530.12|K20.9|Esophagitis, unspecified
530.13|K20.0|Eosinophilic esophagitis
530.19|K20.8|Other esophagitis
530.20|K22.10|Ulcer of esophagus without bleeding
530.21|K22.11|Ulcer of esophagus with bleeding
530.3|K22.2|Esophageal obstruction
530.4|K22.3|Perforation of esophagus
530.5|K22.4|Dyskinesia of esophagus
530.6|K22.5|Diverticulum of esophagus, acquired
530.7|K22.6|Gastro-esophageal laceration-hemorrhage syndrome
530.81|K21.9|Gastro-esophageal reflux disease without esophagitis
530.82|K22.8|Other specified diseases of esophagus
530.83|K22.8|Other specified diseases of esophagus
530.84|J86.0|Pyothorax with fistula
530.85|K22.70|Barrett's esophagus without dysplasia
530.86|K94.32|Esophagostomy infection
530.87|K94.33|Esophagostomy malfunction
530.89|K22.8|Other specified diseases of esophagus
530.9|K22.9|Disease of esophagus, unspecified
531.00|K25.0|Acute gastric ulcer with hemorrhage
531.01|K25.0|Acute gastric ulcer with hemorrhage
531.10|K25.1|Acute gastric ulcer with perforation
531.11|K25.1|Acute gastric ulcer with perforation
531.20|K25.2|Acute gastric ulcer with both hemorrhage and perforation
531.21|K25.2|Acute gastric ulcer with both hemorrhage and perforation
531.30|K25.3|Acute gastric ulcer without hemorrhage or perforation
531.31|K25.3|Acute gastric ulcer without hemorrhage or perforation
531.40|K25.4|Chronic or unspecified gastric ulcer with hemorrhage
531.41|K25.4|Chronic or unspecified gastric ulcer with hemorrhage
531.50|K25.5|Chronic or unspecified gastric ulcer with perforation
531.51|K25.5|Chronic or unspecified gastric ulcer with perforation
531.60|K25.6|Chronic or unspecified gastric ulcer with both hemorrhage and perforation
531.61|K25.6|Chronic or unspecified gastric ulcer with both hemorrhage and perforation
531.70|K25.7|Chronic gastric ulcer without hemorrhage or perforation
531.71|K25.7|Chronic gastric ulcer without hemorrhage or perforation
531.90|K25.9|Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation
531.91|K25.9|Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation
532.00|K26.0|Acute duodenal ulcer with hemorrhage
532.01|K26.0|Acute duodenal ulcer with hemorrhage
532.10|K26.1|Acute duodenal ulcer with perforation
532.11|K26.1|Acute duodenal ulcer with perforation
532.20|K26.2|Acute duodenal ulcer with both hemorrhage and perforation
532.21|K26.2|Acute duodenal ulcer with both hemorrhage and perforation
532.30|K26.3|Acute duodenal ulcer without hemorrhage or perforation
532.31|K26.3|Acute duodenal ulcer without hemorrhage or perforation
532.40|K26.4|Chronic or unspecified duodenal ulcer with hemorrhage
532.41|K26.4|Chronic or unspecified duodenal ulcer with hemorrhage
532.50|K26.5|Chronic or unspecified duodenal ulcer with perforation
532.51|K26.5|Chronic or unspecified duodenal ulcer with perforation
532.60|K26.6|Chronic or unspecified duodenal ulcer with both hemorrhage and perforation
532.61|K26.6|Chronic or unspecified duodenal ulcer with both hemorrhage and perforation
532.70|K26.7|Chronic duodenal ulcer without hemorrhage or perforation
532.71|K26.7|Chronic duodenal ulcer without hemorrhage or perforation
532.90|K26.9|Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation
532.91|K26.9|Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation
533.00|K27.0|Acute peptic ulcer, site unspecified, with hemorrhage
533.01|K27.0|Acute peptic ulcer, site unspecified, with hemorrhage
533.10|K27.1|Acute peptic ulcer, site unspecified, with perforation
533.11|K27.1|Acute peptic ulcer, site unspecified, with perforation
533.20|K27.2|Acute peptic ulcer, site unspecified, with both hemorrhage and perforation
533.21|K27.2|Acute peptic ulcer, site unspecified, with both hemorrhage and perforation
533.30|K27.3|Acute peptic ulcer, site unspecified, without hemorrhage or perforation
533.31|K27.3|Acute peptic ulcer, site unspecified, without hemorrhage or perforation
533.40|K27.4|Chronic or unspecified peptic ulcer, site unspecified, with hemorrhage
533.41|K27.4|Chronic or unspecified peptic ulcer, site unspecified, with hemorrhage
533.50|K27.5|Chronic or unspecified peptic ulcer, site unspecified, with perforation
533.51|K27.5|Chronic or unspecified peptic ulcer, site unspecified, with perforation
533.60|K27.6|Chronic or unspecified peptic ulcer, site unspecified, with both hemorrhage and perforation
533.61|K27.6|Chronic or unspecified peptic ulcer, site unspecified, with both hemorrhage and perforation
533.70|K27.7|Chronic peptic ulcer, site unspecified, without hemorrhage or perforation
533.71|K27.7|Chronic peptic ulcer, site unspecified, without hemorrhage or perforation
533.90|K27.9|Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation
533.91|K27.9|Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation
534.00|K28.0|Acute gastrojejunal ulcer with hemorrhage
534.01|K28.0|Acute gastrojejunal ulcer with hemorrhage
534.10|K28.1|Acute gastrojejunal ulcer with perforation
534.11|K28.1|Acute gastrojejunal ulcer with perforation
534.20|K28.2|Acute gastrojejunal ulcer with both hemorrhage and perforation
534.21|K28.2|Acute gastrojejunal ulcer with both hemorrhage and perforation
534.30|K28.3|Acute gastrojejunal ulcer without hemorrhage or perforation
534.31|K28.3|Acute gastrojejunal ulcer without hemorrhage or perforation
534.40|K28.4|Chronic or unspecified gastrojejunal ulcer with hemorrhage
534.41|K28.4|Chronic or unspecified gastrojejunal ulcer with hemorrhage
534.50|K28.5|Chronic or unspecified gastrojejunal ulcer with perforation
534.51|K28.5|Chronic or unspecified gastrojejunal ulcer with perforation
534.60|K28.6|Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation
534.61|K28.6|Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation
534.70|K28.7|Chronic gastrojejunal ulcer without hemorrhage or perforation
534.71|K28.7|Chronic gastrojejunal ulcer without hemorrhage or perforation
534.90|K28.9|Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation
534.91|K28.9|Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation
535.00|K29.00|Acute gastritis without bleeding
535.01|K29.01|Acute gastritis with bleeding
535.10|K29.40|Chronic atrophic gastritis without bleeding
535.10|K29.50|Diagnostico no disponible
535.11|K29.41|Chronic atrophic gastritis with bleeding
535.11|K29.51|Diagnostico no disponible
535.20|K29.60|Other gastritis without bleeding
535.21|K29.61|Other gastritis with bleeding
535.30|K29.20|Alcoholic gastritis without bleeding
535.31|K29.21|Alcoholic gastritis with bleeding
535.40|K29.60|Other gastritis without bleeding
535.41|K29.61|Other gastritis with bleeding
535.50|K29.70|Diagnostico no disponible
535.50|K29.90|Gastroduodenitis, unspecified, without bleeding
535.51|K29.71|Diagnostico no disponible
535.51|K29.91|Gastroduodenitis, unspecified, with bleeding
535.60|K29.80|Duodenitis without bleeding
535.61|K29.81|Duodenitis with bleeding
535.70|K52.81|Eosinophilic gastritis or gastroenteritis
535.71|K52.81|Eosinophilic gastritis or gastroenteritis
536.0|K31.83|Achlorhydria
536.1|K31.0|Acute dilatation of stomach
536.2|R11.10|Vomiting, unspecified
536.3|K31.84|Gastroparesis
536.40|K94.20|Gastrostomy complication, unspecified
536.41|K94.22|Gastrostomy infection
536.42|K94.23|Gastrostomy malfunction
536.49|K94.29|Other complications of gastrostomy
536.8|K30|Functional dyspepsia
536.9|K31.89|Diagnostico no disponible
536.9|K31.9|Disease of stomach and duodenum, unspecified
537.0|K31.1|Adult hypertrophic pyloric stenosis
537.1|K31.4|Gastric diverticulum
537.2|K31.5|Obstruction of duodenum
537.3|K31.5|Obstruction of duodenum
537.4|K31.6|Fistula of stomach and duodenum
537.5|K31.89|Other diseases of stomach and duodenum
537.6|K31.2|Hourglass stricture and stenosis of stomach
537.81|K31.3|Pylorospasm, not elsewhere classified
537.82|K31.819|Angiodysplasia of stomach and duodenum without bleeding
537.83|K31.811|Angiodysplasia of stomach and duodenum with bleeding
537.84|K31.82|Dieulafoy lesion (hemorrhagic) of stomach and duodenum
537.89|K31.89|Other diseases of stomach and duodenum
537.9|K31.9|Disease of stomach and duodenum, unspecified
538|K92.81|Gastrointestinal mucositis (ulcerative)
539.01|K95.01|Infection due to gastric band procedure
539.09|K95.09|Other complications of gastric band procedure
539.81|K95.81|Infection due to other bariatric procedure
539.89|K95.89|Other complications of other bariatric procedure
540.0|K35.2|Acute appendicitis with generalized peritonitis
540.1|K35.3|Acute appendicitis with localized peritonitis
540.9|K35.80|Unspecified acute appendicitis
540.9|K35.89|Diagnostico no disponible
541|K37|Unspecified appendicitis
542|K36|Other appendicitis
543.0|K38.0|Hyperplasia of appendix
543.9|K38.1|Diagnostico no disponible
543.9|K38.2|Diagnostico no disponible
543.9|K38.3|Diagnostico no disponible
543.9|K38.8|Diagnostico no disponible
543.9|K38.9|Disease of appendix, unspecified
550.00|K40.40|Unilateral inguinal hernia, with gangrene, not specified as recurrent
550.01|K40.41|Unilateral inguinal hernia, with gangrene, recurrent
550.02|K40.10|Bilateral inguinal hernia, with gangrene, not specified as recurrent
550.03|K40.11|Bilateral inguinal hernia, with gangrene, recurrent
550.10|K40.30|Unilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent
550.11|K40.31|Unilateral inguinal hernia, with obstruction, without gangrene, recurrent
550.12|K40.00|Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent
550.13|K40.01|Bilateral inguinal hernia, with obstruction, without gangrene, recurrent
550.90|K40.90|Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent
550.91|K40.91|Unilateral inguinal hernia, without obstruction or gangrene, recurrent
550.92|K40.20|Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent
550.93|K40.21|Bilateral inguinal hernia, without obstruction or gangrene, recurrent
551.00|K41.40|Unilateral femoral hernia, with gangrene, not specified as recurrent
551.01|K41.41|Unilateral femoral hernia, with gangrene, recurrent
551.02|K41.10|Bilateral femoral hernia, with gangrene, not specified as recurrent
551.03|K41.11|Bilateral femoral hernia, with gangrene, recurrent
551.1|K42.1|Umbilical hernia with gangrene
551.20|K43.7|Other and unspecified ventral hernia with gangrene
551.21|K43.1|Incisional hernia with gangrene
551.29|K43.7|Other and unspecified ventral hernia with gangrene
551.3|K44.1|Diaphragmatic hernia with gangrene
551.8|K45.1|Other specified abdominal hernia with gangrene
551.9|K46.1|Unspecified abdominal hernia with gangrene
552.00|K41.30|Unilateral femoral hernia, with obstruction, without gangrene, not specified as recurrent
552.01|K41.31|Unilateral femoral hernia, with obstruction, without gangrene, recurrent
552.02|K41.00|Bilateral femoral hernia, with obstruction, without gangrene, not specified as recurrent
552.03|K41.01|Bilateral femoral hernia, with obstruction, without gangrene, recurrent
552.1|K42.0|Umbilical hernia with obstruction, without gangrene
552.20|K43.6|Other and unspecified ventral hernia with obstruction, without gangrene
552.21|K43.0|Incisional hernia with obstruction, without gangrene
552.29|K43.6|Other and unspecified ventral hernia with obstruction, without gangrene
552.3|K44.0|Diaphragmatic hernia with obstruction, without gangrene
552.8|K45.0|Other specified abdominal hernia with obstruction, without gangrene
552.9|K46.0|Unspecified abdominal hernia with obstruction, without gangrene
553.00|K41.90|Unilateral femoral hernia, without obstruction or gangrene, not specified as recurrent
553.01|K41.91|Unilateral femoral hernia, without obstruction or gangrene, recurrent
553.02|K41.20|Bilateral femoral hernia, without obstruction or gangrene, not specified as recurrent
553.03|K41.21|Bilateral femoral hernia, without obstruction or gangrene, recurrent
553.1|K42.9|Umbilical hernia without obstruction or gangrene
553.20|K43.9|Ventral hernia without obstruction or gangrene
553.21|K43.2|Incisional hernia without obstruction or gangrene
553.29|K43.9|Ventral hernia without obstruction or gangrene
553.29|K46.9|Diagnostico no disponible
553.3|K44.9|Diaphragmatic hernia without obstruction or gangrene
553.8|K45.8|Other specified abdominal hernia without obstruction or gangrene
553.9|K46.9|Unspecified abdominal hernia without obstruction or gangrene
555.0|K50.00|Crohn's disease of small intestine without complications
555.1|K50.10|Crohn's disease of large intestine without complications
555.2|K50.80|Crohn's disease of both small and large intestine without complications
555.9|K50.90|Crohn's disease, unspecified, without complications
556.0|K51.80|Other ulcerative colitis without complications
556.1|K51.80|Other ulcerative colitis without complications
556.2|K51.20|Ulcerative (chronic) proctitis without complications
556.3|K51.30|Ulcerative (chronic) rectosigmoiditis without complications
556.4|K51.40|Inflammatory polyps of colon without complications
556.5|K51.50|Left sided colitis without complications
556.6|K51.00|Ulcerative (chronic) pancolitis without complications
556.8|K51.80|Other ulcerative colitis without complications
556.9|K51.90|Ulcerative colitis, unspecified, without complications
557.0|K55.0|Acute vascular disorders of intestine
557.1|K55.1|Chronic vascular disorders of intestine
557.9|K55.9|Vascular disorder of intestine, unspecified
558.1|K52.0|Gastroenteritis and colitis due to radiation
558.2|K52.1|Toxic gastroenteritis and colitis
558.3|K52.2|Allergic and dietetic gastroenteritis and colitis
558.41|K52.81|Eosinophilic gastritis or gastroenteritis
558.42|K52.82|Eosinophilic colitis
558.9|K52.89|Diagnostico no disponible
558.9|K52.9|Noninfective gastroenteritis and colitis, unspecified
560.0|K56.1|Intussusception
560.1|K56.0|Paralytic ileus
560.1|K56.7|Diagnostico no disponible
560.2|K56.2|Volvulus
560.30|K56.49|Other impaction of intestine
560.31|K56.3|Gallstone ileus
560.32|K56.41|Fecal impaction
560.39|K56.49|Other impaction of intestine
560.81|K56.5|Intestinal adhesions [bands] with obstruction (postprocedural) (postinfection)
560.89|K56.69|Other intestinal obstruction
560.9|K56.60|Unspecified intestinal obstruction
562.00|K57.10|Diverticulosis of small intestine without perforation or abscess without bleeding
562.01|K57.12|Diverticulitis of small intestine without perforation or abscess without bleeding
562.02|K57.11|Diverticulosis of small intestine without perforation or abscess with bleeding
562.03|K57.13|Diverticulitis of small intestine without perforation or abscess with bleeding
562.10|K57.30|Diverticulosis of large intestine without perforation or abscess without bleeding
562.11|K57.32|Diverticulitis of large intestine without perforation or abscess without bleeding
562.12|K57.31|Diverticulosis of large intestine without perforation or abscess with bleeding
562.13|K57.33|Diverticulitis of large intestine without perforation or abscess with bleeding
564.00|K59.00|Constipation, unspecified
564.01|K59.01|Slow transit constipation
564.02|K59.02|Outlet dysfunction constipation
564.09|K59.09|Other constipation
