ICD9|ICD10|Description
V54.16|S92.136D|Fractura sin desplazamiento de apófisis posterior de astrágalo no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.141D|Fractura desplazada de cúpula de astrágalo derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.142D|Fractura desplazada de cúpula de astrágalo izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.143D|Fractura desplazada de cúpula de astrágalo no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.144D|Fractura sin desplazamiento de cúpula de astrágalo derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.145D|Fractura sin desplazamiento de cúpula de astrágalo izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.146D|Fractura sin desplazamiento de cúpula de astrágalo no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.151D|Fractura por arrancamiento (avulsión) desplazada (fractura en astilla) de astrágalo derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.152D|Fractura por arrancamiento (avulsión) desplazada (fractura en astilla) de astrágalo izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.153D|Fractura por arrancamiento (avulsión) desplazada (fractura en astilla) de astrágalo no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.154D|Fractura por arrancamiento (avulsión) sin desplazamiento (fractura en astilla) de astrágalo derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.155D|Fractura por arrancamiento (avulsión) sin desplazamiento (fractura en astilla) de astrágalo izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.156D|Fractura por arrancamiento (avulsión) sin desplazamiento (fractura en astilla) de astrágalo no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.191D|Otra fractura de astrágalo derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.192D|Otra fractura de astrágalo izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.199D|Otra fractura de astrágalo no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.201D|Fractura de hueso(s) del tarso no especificado del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.202D|Fractura de hueso(s) del tarso no especificado del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.209D|Fractura de hueso(s) del tarso no especificado de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.211D|Fractura desplazada de hueso cuboides del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.212D|Fractura desplazada de hueso cuboides del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.213D|Fractura desplazada de hueso cuboides de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.214D|Fractura sin desplazamiento de hueso cuboides del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.215D|Fractura sin desplazamiento de hueso cuboides del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.216D|Fractura sin desplazamiento de hueso cuboides de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.221D|Fractura desplazada de cuneiforme lateral del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.222D|Fractura desplazada de cuneiforme lateral del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.223D|Fractura desplazada de cuneiforme lateral de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.224D|Fractura sin desplazamiento de cuneiforme lateral del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.225D|Fractura sin desplazamiento de cuneiforme lateral del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.226D|Fractura sin desplazamiento de cuneiforme lateral de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.231D|Fractura desplazada de cuneiforme intermedio del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.232D|Fractura desplazada de cuneiforme intermedio del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.233D|Fractura desplazada de cuneiforme intermedio de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.234D|Fractura sin desplazamiento de cuneiforme intermedio del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.235D|Fractura sin desplazamiento de cuneiforme intermedio del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.236D|Fractura sin desplazamiento de cuneiforme intermedio de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.241D|Fractura desplazada de cuneiforme medial del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.242D|Fractura desplazada de cuneiforme medial del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.243D|Fractura desplazada de cuneiforme medial de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.244D|Fractura sin desplazamiento de cuneiforme medial del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.245D|Fractura sin desplazamiento de cuneiforme medial del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.246D|Fractura sin desplazamiento de cuneiforme medial de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.251D|Fractura desplazada de escafoides [navicular] del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.252D|Fractura desplazada de escafoides [navicular] del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.253D|Fractura desplazada de escafoides [navicular] de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.254D|Fractura sin desplazamiento de escafoides [navicular] del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.255D|Fractura sin desplazamiento de escafoides [navicular] del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.256D|Fractura sin desplazamiento de escafoides [navicular] de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.301D|Fractura de metatarsiano(s) no especificado del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.302D|Fractura de metatarsiano(s) no especificado del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.309D|Fractura de metatarsiano(s) no especificado de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.311D|Fractura desplazada de primer metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.312D|Fractura desplazada de primer metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.313D|Fractura desplazada de primer metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.314D|Fractura sin desplazamiento de primer metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.315D|Fractura sin desplazamiento de primer metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.316D|Fractura sin desplazamiento de primer metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.321D|Fractura desplazada de segundo metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.322D|Fractura desplazada de segundo metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.323D|Fractura desplazada de segundo metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.324D|Fractura sin desplazamiento de segundo metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.325D|Fractura sin desplazamiento de segundo metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.326D|Fractura sin desplazamiento de segundo metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.331D|Fractura desplazada de tercer metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.332D|Fractura desplazada de tercer metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.333D|Fractura desplazada de tercer metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.334D|Fractura sin desplazamiento de tercer metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.335D|Fractura sin desplazamiento de tercer metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.336D|Fractura sin desplazamiento de tercer metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.341D|Fractura desplazada de cuarto metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.342D|Fractura desplazada de cuarto metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.343D|Fractura desplazada de cuarto metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.344D|Fractura sin desplazamiento de cuarto metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.345D|Fractura sin desplazamiento de cuarto metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.346D|Fractura sin desplazamiento de cuarto metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.351D|Fractura desplazada de quinto metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.352D|Fractura desplazada de quinto metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.353D|Fractura desplazada de quinto metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.354D|Fractura sin desplazamiento de quinto metatarsiano del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.355D|Fractura sin desplazamiento de quinto metatarsiano del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.356D|Fractura sin desplazamiento de quinto metatarsiano de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.401D|Fractura no especificada desplazada de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.402D|Fractura no especificada desplazada de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.403D|Fractura no especificada desplazada de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.404D|Fractura no especificada sin desplazamiento de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.405D|Fractura no especificada sin desplazamiento de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.406D|Fractura no especificada sin desplazamiento de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.411D|Fractura desplazada de falange proximal de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.412D|Fractura desplazada de falange proximal de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.413D|Fractura desplazada de falange proximal de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.414D|Fractura sin desplazamiento de falange proximal de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.415D|Fractura sin desplazamiento de falange proximal de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.416D|Fractura sin desplazamiento de falange proximal de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.421D|Fractura desplazada de falange distal de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.422D|Fractura desplazada de falange distal de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.423D|Fractura desplazada de falange distal de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.424D|Fractura sin desplazamiento de falange distal de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.425D|Fractura sin desplazamiento de falange distal de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.426D|Fractura sin desplazamiento de falange distal de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.491D|Otra fractura de dedo gordo del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.492D|Otra fractura de dedo gordo del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.499D|Otra fractura de dedo gordo de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.501D|Fractura no especificada desplazada de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.502D|Fractura no especificada desplazada de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.503D|Fractura no especificada desplazada de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.504D|Fractura no especificada sin desplazamiento de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.505D|Fractura no especificada sin desplazamiento de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.506D|Fractura no especificada sin desplazamiento de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.511D|Fractura desplazada de falange proximal de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.512D|Fractura desplazada de falange proximal de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.513D|Fractura desplazada de falange proximal de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.514D|Fractura sin desplazamiento de falange proximal de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.515D|Fractura sin desplazamiento de falange proximal de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.516D|Fractura sin desplazamiento de falange proximal de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.521D|Fractura desplazada de falange media de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.522D|Fractura desplazada de falange media de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.523D|Fractura desplazada de falange media de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.524D|Fractura sin desplazamiento de falange media de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.525D|Fractura sin desplazamiento de falange media de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.526D|Fractura sin desplazamiento de falange media de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.531D|Fractura desplazada de falange distal de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.532D|Fractura desplazada de falange distal de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.533D|Fractura desplazada de falange distal de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.534D|Fractura sin desplazamiento de falange distal de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.535D|Fractura sin desplazamiento de falange distal de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.536D|Fractura sin desplazamiento de falange distal de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.591D|Otra fractura de dedo(s) menor(es) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.592D|Otra fractura de dedo(s) menor(es) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.599D|Otra fractura de dedo(s) menor(es) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.901D|Fractura no especificada del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.902D|Fractura no especificada del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.909D|Fractura no especificada de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.911D|Fractura no especificada de dedo(s) del pie derecho, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.912D|Fractura no especificada de dedo(s) del pie izquierdo, contacto sucesivo por fractura con curas rutinarias
V54.16|S92.919D|Fractura no especificada de dedo(s) de pie no especificado, contacto sucesivo por fractura con curas rutinarias
V54.13|S72.001D|Fractura de parte no especificada del cuello de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.002D|Fractura de parte no especificada del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.009D|Fractura de parte no especificado del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.011D|Fractura intracapsular no especificada de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.012D|Fractura intracapsular no especificada de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.019D|Fractura intracapsular no especificada de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.019E|Fractura intracapsular no especificada de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.021D|Fractura desplazada de epífisis (separación) (superior) de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.022D|Fractura desplazada de epífisis (separación) (superior) de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.023D|Fractura desplazada de epífisis (separación) (superior) de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.023E|Fractura desplazada de epífisis (separación) (superior) de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.024D|Fractura sin desplazamiento de epífisis (separación) (superior) de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.025D|Fractura sin desplazamiento de epífisis (separación) (superior) de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.026D|Fractura sin desplazamiento de epífisis (separación) (superior) de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.026E|Fractura sin desplazamiento de epífisis (separación) (superior) de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.031D|Fractura mediocervical desplazada de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.032D|Fractura mediocervical desplazada de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.033D|Fractura mediocervical desplazada de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.033E|Fractura mediocervical desplazada de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.034D|Fractura mediocervical sin desplazamiento de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.035D|Fractura mediocervical sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.036D|Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.036E|Fractura mediocervical sin desplazamiento de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.041D|Fractura desplazada de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.042D|Fractura desplazada de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.043D|Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.043E|Fractura desplazada de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.044D|Fractura sin desplazamiento de base del cuello de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.045D|Fractura sin desplazamiento de base del cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.046D|Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.046E|Fractura sin desplazamiento de base del cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.051D|Fractura no especificada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.052D|Fractura no especificada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.059D|Fractura no especificada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.061D|Fractura articular desplazada de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.062D|Fractura articular desplazada de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.063D|Fractura articular desplazada de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.064D|Fractura articular sin desplazamiento de cabeza de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.065D|Fractura articular sin desplazamiento de cabeza de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.066D|Fractura articular sin desplazamiento de cabeza de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.091D|Otra fractura de cabeza y cuello de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.092D|Otra fractura de cabeza y cuello de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.099D|Otra fractura de cabeza y cuello de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.099E|Otra fractura de cabeza y cuello de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.101D|Fractura de trocánter no especificado de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.102D|Fractura de trocánter no especificado de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.109D|Fractura de trocánter no especificado de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.109E|Fractura de trocánter no especificado de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.13|S72.111D|Fractura desplazada de trocánter mayor de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.112D|Fractura desplazada de trocánter mayor de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.113D|Fractura desplazada de trocánter mayor de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.114D|Fractura sin desplazamiento de trocánter mayor de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.115D|Fractura sin desplazamiento de trocánter mayor de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.116D|Fractura sin desplazamiento de trocánter mayor de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.121D|Fractura desplazada de trocánter menor de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.122D|Fractura desplazada de trocánter menor de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.123D|Fractura desplazada de trocánter menor de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.124D|Fractura sin desplazamiento de trocánter menor de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.125D|Fractura sin desplazamiento de trocánter menor de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.126D|Fractura sin desplazamiento de trocánter menor de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.131D|Fractura de apófisis desplazada de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.132D|Fractura de apófisis desplazada de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.133D|Fractura de apófisis desplazada de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.134D|Fractura de apófisis sin desplazamiento de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.135D|Fractura de apófisis sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.136D|Fractura de apófisis sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.141D|Fractura intertrocantérea desplazada de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.142D|Fractura intertrocantérea desplazada de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.143D|Fractura intertrocantérea desplazada de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.144D|Fractura intertrocantérea sin desplazamiento de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.145D|Fractura intertrocantérea sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.13|S72.146D|Fractura intertrocantérea sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.21XD|Fractura subtrocantérea desplazada de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.22XD|Fractura subtrocantérea desplazada de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.23XD|Fractura subtrocantérea desplazada de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.24XD|Fractura subtrocantérea sin desplazamiento de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.25XD|Fractura subtrocantérea sin desplazamiento de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.26XD|Fractura subtrocantérea sin desplazamiento de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.301D|Fractura no especificada de diáfisis de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.302D|Fractura no especificada de diáfisis de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.309D|Fractura no especificada de diáfisis de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.309E|Fractura no especificada de diáfisis de fémur no especificado, contacto sucesivo por fractura abierta tipo I o II con curas rutinarias 
V54.15|S72.321D|Fractura transversal desplazada de diáfisis de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.322D|Fractura transversal desplazada de diáfisis de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.323D|Fractura transversal desplazada de diáfisis de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.324D|Fractura transversal sin desplazamiento de diáfisis de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.325D|Fractura transversal sin desplazamiento de diáfisis de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.326D|Fractura transversal sin desplazamiento de diáfisis de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.331D|Fractura oblicua desplazada de diáfisis de fémur derecho, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.332D|Fractura oblicua desplazada de diáfisis de fémur izquierdo, contacto sucesivo por fractura cerrada con curas rutinarias
V54.15|S72.333D|Fractura oblicua desplazada de diáfisis de fémur no especificado, contacto sucesivo por fractura cerrada con curas rutinarias
