nombre_diagnostico|nombre_diagnostico_psiquiatrico
Uso prolongado (actual) de medicamentos hipoglucemiantes orales|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de otras enfermedades infecciosas y parasitarias|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipogammaglobulinemia no familiar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno por estrés postraumático, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Abuso de alcohol, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Absceso anal|Esquizofrenia
Dependencia de cocaína, sin complicaciones|Esquizofrenia
Dependencia de cannabis con trastorno no especificado inducido por cannabis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Tuberculosis respiratoria no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro incumplimiento del paciente de la prescripción médica|Trastornos delirantes
Neumonía lobar, microorganismo no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hepatitis vírica crónica tipo C|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trombocitopenia no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de tuberculosis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno bipolar, no especificado|Esquizofrenia
Celulitis de pared abdominal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Obesidad, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Esquizofrenia
Demencia no especificada, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Esquizofrenia
Otras anemias megaloblásticas, no clasificadas bajo otro concepto|Esquizofrenia
Pérdida de audición no especificada, oído no especificado|Esquizofrenia
Trastorno del riñón y del uréter, no especificado|Esquizofrenia
Anemia, no especificada|Esquizofrenia
Hipotiroidismo posprocedimiento|Esquizofrenia
Cuerpo extraño no especificado en vías respiratorias, parte no especificada, que produce otras lesiones, contacto inicial|Esquizofrenia
Otras enfermedades degenerativas especificadas del sistema nervioso|Esquizofrenia
Disfagia, no especificada|Esquizofrenia
Úlcera por presión en sitio no especificado, estadio no especificado|Esquizofrenia
Vómitos, no especificados|Esquizofrenia
Hidronefrosis con estenosis ureteral, no clasificada bajo otro concepto|Esquizofrenia
Neoplasia maligna de riñón izquierdo, excepto pelvis renal|Esquizofrenia
Hematuria macroscópica|Esquizofrenia
Uropatía obstructiva y por reflujo, no especificada|Esquizofrenia
Infección y reacción inflamatoria por (debida a) otros dispositivos, implantes e injertos cardiacos y vasculares, contacto inicial|Esquizofrenia
Endocarditis infecciosa aguda y subaguda|Esquizofrenia
Historia personal de otra neoplasia maligna de riñón|Esquizofrenia
Ausencia adquirida de riñón|Esquizofrenia
Absceso peritoneal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Úlcera crónica no debida a presión de talón y mediopie derechos, de gravedad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección local de la piel y del tejido subcutáneo, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipertensión esencial (primaria)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras secuelas de infarto cerebral|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hepatitis vírica C no especificada, sin coma hepático|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro tipo de megacolon|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Histiocitosis de células de Langerhans unifocal|Trastornos delirantes
Acalasia de cardias|Trastornos delirantes
Síndrome del túnel carpiano, ambas extremidades superiores|Trastornos delirantes
Enfermedad pulmonar obstructiva crónica, no especificada|Trastornos delirantes
Diabetes mellitus tipo 1 sin complicaciones|Trastornos delirantes
Efecto adverso de fármacos, medicamentos y sustancias biológicas no especificados, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad vascular periférica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Bocio multinodular no tóxico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Taquicardia ventricular|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estreñimiento, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras formas de escoliosis, región lumbar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipocalcemia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipomagnesemia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Carencia de otras vitaminas del grupo B especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Luxación no especificada de rótula derecha, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Caída no especificada, contacto inicial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno mental no especificado debido a afección fisiológica conocida|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Psoriasis, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Gota, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infarto de miocardio antiguo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de nicotina no especificada, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Presencia de angioplastia, injertos y prótesis coronarios|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Neumonía, microorganismo no especificado|Otros tipos de esquizofrenia
Insuficiencia respiratoria aguda no especificada si con hipoxia o con hipercapnia|Otros tipos de esquizofrenia
Esquizofrenia, no especificada|Otros tipos de esquizofrenia
Historia personal de dependencia a nicotina|Otros tipos de esquizofrenia
Esquizofrenia paranoide|Otros tipos de esquizofrenia
Incumplimiento del paciente con otro tratamiento y régimen médico|Otros tipos de esquizofrenia
Otro asesoramiento específico|Otros tipos de esquizofrenia
Aterosclerosis de arterias nativas de extremidades con gangrena, extremidad no especificada|Esquizofrenia
Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Estado angioplastia vascular periférico con implantes e injertos|Esquizofrenia
Hepatitis vírica crónica tipo C|Otros tipos de esquizofrenia
Abuso de alcohol, sin complicaciones|Otros tipos de esquizofrenia
Prepucio adherente del recién nacido|Otros tipos de esquizofrenia
Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad|Otros tipos de esquizofrenia
Nódulo tiroideo único no tóxico|Trastornos delirantes
Incontinencia urinaria no especificada|Trastornos delirantes
Otros trastornos extrapiramidales y del movimiento especificados|Trastornos delirantes
Historia personal de cálculos urinarios|Trastornos delirantes
Otras secuelas de enfermedad cerebrovascular|Trastornos delirantes
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Trastornos delirantes
Infarto cerebral debido a trombosis de arteria cerebral no especificada|Otros tipos de esquizofrenia
Hemiplejia no especificada que afecta a lado derecho no dominante|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 sin complicaciones|Otros tipos de esquizofrenia
Hipertensión esencial (primaria)|Otros tipos de esquizofrenia
Hiperplasia prostática benigna sin síntomas de tracto urinario inferior|Otros tipos de esquizofrenia
Pérdida de visión sin calificar, un ojo, no especificado|Otros tipos de esquizofrenia
Esquizofrenia residual|Otros tipos de esquizofrenia
Estado de alergia a penicilina|Otros tipos de esquizofrenia
Ruptura familiar por separación y divorcio|Otros tipos de esquizofrenia
Sobreprotección parental|Otros tipos de esquizofrenia
Problemas relacionados con vivir solo|Otros tipos de esquizofrenia
Trastorno depresivo mayor, episodio único, no especificado|Otros tipos de esquizofrenia
Neoplasia maligna de próstata|Otros tipos de esquizofrenia
Historia familiar de otros trastornos mentales y del comportamiento|Otros tipos de esquizofrenia
Otros factores específicos de riesgo personal, no clasificados bajo otro concepto|Otros tipos de esquizofrenia
Elevación del título de anticuerpos|Otros tipos de esquizofrenia
Obesidad, no especificada|Otros tipos de esquizofrenia
Dependencia de nicotina no especificada, sin complicaciones|Otros tipos de esquizofrenia
Dependencia de alcohol, en remisión|Otros tipos de esquizofrenia
Infarto cerebral debido a oclusión o estenosis no especificada de otra arteria cerebral|Otros tipos de esquizofrenia
Oftalmoplejia internuclear, ojo no especificado |Otros tipos de esquizofrenia
Hipercolesterolemia pura|Otros tipos de esquizofrenia
Otros tipos de trastornos específicos de personalidad|Otros tipos de esquizofrenia
Pólipo del cuerpo uterino|Otros tipos de esquizofrenia
Hipotiroidismo, no especificado|Otros tipos de esquizofrenia
Estado de alergia a analgésico|Otros tipos de esquizofrenia
Sepsis, microorganismo no especificado|Otros tipos de esquizofrenia
Cálculo de vesícula y conducto biliar con colecistitis aguda con obstrucción|Otros tipos de esquizofrenia
Enfisema, no especificado|Otros tipos de esquizofrenia
Insuficiencia respiratoria crónica no especificada si con hipoxia o con hipercapnia|Otros tipos de esquizofrenia
Dependencia de oxígeno suplementario|Otros tipos de esquizofrenia
Enfermedad pulmonar obstructiva crónica, no especificada|Otros tipos de esquizofrenia
Otras arritmias cardiacas especificadas|Otros tipos de esquizofrenia
Historia personal de otras enfermedades del aparato digestivo|Otros tipos de esquizofrenia
Hernia ventral sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Procedimiento y tratamiento no realizados debido a otra contraindicación|Otros tipos de esquizofrenia
Infección respiratoria aguda del tracto respiratorio superior, no especificada|Otros tipos de esquizofrenia
Uso prolongado (actual) de analgésicos opiáceos|Otros tipos de esquizofrenia
Dependencia de cannabis, sin complicaciones|Otros tipos de esquizofrenia
Angiodisplasia de colon sin hemorragia|Otros tipos de esquizofrenia
Estreñimiento, no especificado|Otros tipos de esquizofrenia
Enfermedad inflamatoria del útero, no especificada|Otros tipos de esquizofrenia
Otros síntomas y signos generales|Otros tipos de esquizofrenia
Artrosis de rodilla no especificada|Otros tipos de esquizofrenia
Dolor intercostal|Trastornos delirantes
Trastorno de personalidad histriónica|Trastornos delirantes
Otros tipos de hiperlipidemia|Trastornos delirantes
Historia personal de dependencia a nicotina|Trastornos delirantes
Embolia y trombosis agudas de vena femoral no especificada|Otros tipos de esquizofrenia
Otra embolia pulmonar sin cor pulmonale agudo|Otros tipos de esquizofrenia
Bronquiectasias, sin complicaciones|Otros tipos de esquizofrenia
Secuelas de tuberculosis respiratoria y de tuberculosis no especificada|Otros tipos de esquizofrenia
Insuficiencia cerebrovascular aguda|Otros tipos de esquizofrenia
Hipergliceridemia pura|Otros tipos de esquizofrenia
Hígado graso alcohólico|Otros tipos de esquizofrenia
Abuso de cannabis, sin complicaciones|Otros tipos de esquizofrenia
Abuso de cocaína, sin complicaciones|Otros tipos de esquizofrenia
Desempleo, no especificado|Otros tipos de esquizofrenia
Otra hipertensión pulmonar secundaria|Trastornos delirantes
Insuficiencia respiratoria aguda no especificada si con hipoxia o con hipercapnia|Trastornos delirantes
Insuficiencia tricuspídea reumática|Trastornos delirantes
Embolia debida a prótesis, implantes e injertos vasculares, contacto inicial|Otros tipos de esquizofrenia
Enfermedad renal en estadio terminal|Otros tipos de esquizofrenia
Dependencia de diálisis renal|Otros tipos de esquizofrenia
Bronquitis crónica no especificada|Otros tipos de esquizofrenia
Trastorno de personalidad obsesivo-compulsivo|Trastorno psicótico breve
Contacto para cuidados de colostomía|Otros tipos de esquizofrenia
Fibrosis hepática|Otros tipos de esquizofrenia
Ausencia adquirida de otras partes especificadas del tracto digestivo|Otros tipos de esquizofrenia
Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto, contacto inicial|Otros tipos de esquizofrenia
Absceso retroperitoneal posprocedimiento|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda con obstrucción|Otros tipos de esquizofrenia
Fístula de vesícula biliar|Otros tipos de esquizofrenia
Peritonitis, no especificada|Otros tipos de esquizofrenia
Colangitis|Otros tipos de esquizofrenia
Sepsis grave sin shock séptico|Otros tipos de esquizofrenia
Insuficiencia cardiaca, no especificada|Otros tipos de esquizofrenia
Síndrome hepatorrenal|Otros tipos de esquizofrenia
Malnutrición calórico-proteica grave no especificada|Otros tipos de esquizofrenia
Delirio debido a afección fisiológica conocida|Otros tipos de esquizofrenia
Otros trastornos respiratorios especificados|Otros tipos de esquizofrenia
Historia personal de otras enfermedades del aparato circulatorio|Otros tipos de esquizofrenia
Presencia de otros implantes e injertos vasculares|Otros tipos de esquizofrenia
Deterioro cognitivo leve de etiología incierta o desconocida|Otros tipos de esquizofrenia
Pérdida de audición no especificada, oído no especificado|Otros tipos de esquizofrenia
Problemas relacionados con la vida en una institución residencial|Otros tipos de esquizofrenia
Absceso periapical absceso con sinus|Otros tipos de esquizofrenia
Enfermedad pulmonar obstructiva crónica con exacerbación (aguda)|Otros tipos de esquizofrenia
Haemophilus influenzae [H. influenzae] como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Insuficiencia respiratoria aguda y crónica no especificada si con hipoxia o con hipercapnia|Otros tipos de esquizofrenia
Osteoporosis relacionada con la edad, sin fractura patológica actual|Otros tipos de esquizofrenia
Vértebra colapsada, no clasificada bajo otro concepto, localización no especificada, contacto inicial por fractura|Otros tipos de esquizofrenia
Arritmia cardiaca, no especificada|Otros tipos de esquizofrenia
Uso prolongado (actual) de anticoagulantes|Otros tipos de esquizofrenia
Neoplasia maligna de vejiga, no especificada|Otros tipos de esquizofrenia
Retención urinaria, no especificada|Otros tipos de esquizofrenia
Hipertensión portal|Otros tipos de esquizofrenia
Varices esofágicas secundarias sin hemorragia|Otros tipos de esquizofrenia
Neoplasia maligna de colon, no especificada|Otros tipos de esquizofrenia
Anemia en enfermedad neoplásica|Otros tipos de esquizofrenia
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Otros tipos de esquizofrenia
Quiste de riñón, adquirido|Otros tipos de esquizofrenia
Estenosis (de la válvula) aórtica no reumática|Otros tipos de esquizofrenia
Enfermedad de Alzheimer, no especificada|Otros tipos de esquizofrenia
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad|Otros tipos de esquizofrenia
Neoplasia benigna de ciego|Otros tipos de esquizofrenia
Hidrocefalia obstructiva|Otros tipos de esquizofrenia
Hernia inguinal bilateral, sin obstrucción ni gangrena, no especificada como recidivada|Otros tipos de esquizofrenia
Hemorragia intraoperatoria y hematoma del bazo complicando un procedimiento sobre el bazo|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Otros tipos de esquizofrenia
Escherichia coli [E. coli] [STEC] O157 productor de toxina Shiga como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Esquizofrenia desorganizada|Otros tipos de esquizofrenia
Hernia umbilical sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Quemadura de grado no especificado de antebrazo no especificado, contacto inicial|Otros tipos de esquizofrenia
Discapacidad intelectual no especificada|Otros tipos de esquizofrenia
Esófago de Barrett sin displasia|Otros tipos de esquizofrenia
Disnea no especificada|Otros tipos de esquizofrenia
Obstrucción de esófago|Otros tipos de esquizofrenia
Hipotensión, no especificada|Otros tipos de esquizofrenia
Hirsutismo|Otros tipos de esquizofrenia
Neumonitis debida a inhalación de alimentos y vómito|Otros tipos de esquizofrenia
Otras enfermedades alveolares y parietoalveolares|Otros tipos de esquizofrenia
Hematemesis|Otros tipos de esquizofrenia
Anemia poshemorrágica aguda|Otros tipos de esquizofrenia
Esofagitis, no especificada|Otros tipos de esquizofrenia
Hernia diafragmática sin obstrucción ni gangrena|Otros tipos de esquizofrenia
Neoplasia maligna de lóbulo superior, bronquio y pulmón no especificados|Otros tipos de esquizofrenia
Neumonía por Streptococcus pneumoniae|Otros tipos de esquizofrenia
Historia personal de otro tipo de trombosis y embolia venosas|Otros tipos de esquizofrenia
Estado de alergia a penicilina|Trastornos delirantes
Piotórax sin fístula|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con complicaciones no especificadas|Otros tipos de esquizofrenia
Cor pulmonale (crónico)|Otros tipos de esquizofrenia
Paraplejia, no especificada|Otros tipos de esquizofrenia
Contacto para cribado de trastorno respiratorio NCOC|Otros tipos de esquizofrenia
Hemiplejia no especificada que afecta a lado no especificado|Otros tipos de esquizofrenia
Derrame pleural en otras afecciones clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Anemia en otras enfermedades crónicas clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Enfermedad cardiaca aterosclerótica de arteria coronaria nativa sin angina de pecho|Otros tipos de esquizofrenia
Insuficiencia respiratoria aguda posprocedimiento|Otros tipos de esquizofrenia
Fibrilación auricular no especificada|Otros tipos de esquizofrenia
Hígado graso (degeneración grasa) de hígado, no clasificado bajo otro concepto|Otros tipos de esquizofrenia
Neumoconiosis debida a otro tipo de polvo que contiene sílice|Otros tipos de esquizofrenia
Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores|Otros tipos de esquizofrenia
Bocio multinodular no tóxico|Otros tipos de esquizofrenia
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Otros tipos de esquizofrenia
Enfermedad renal crónica, no especificada|Otros tipos de esquizofrenia
Enfermedad de Parkinson|Otros tipos de esquizofrenia
Síndrome de intestino irritable sin diarrea|Otros tipos de esquizofrenia
Otra escoliosis idiopática, localización no especificada|Otros tipos de esquizofrenia
Historia personal de ataque isquémico transitorio (AIT) e infarto cerebral sin déficits residuales|Otros tipos de esquizofrenia
Deshidratación|Otros tipos de esquizofrenia
Fallo renal agudo, no especificado|Otros tipos de esquizofrenia
Diabetes mellitus tipo 2 con otra artropatía diabética|Otros tipos de esquizofrenia
Bacteriemia|Otros tipos de esquizofrenia
Infección por Staphylococcus aureus sensible a meticilina como causa de enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Estomatitis candidiásica|Otros tipos de esquizofrenia
Insuficiencia (de la válvula) mitral no reumática|Otros tipos de esquizofrenia
Hipoxemia|Otros tipos de esquizofrenia
Uso prolongado (actual) de insulina|Otros tipos de esquizofrenia
Insuficiencia cardiaca reumática|Otros tipos de esquizofrenia
Estenosis mitral reumática|Otros tipos de esquizofrenia
Flutter auricular no especificado|Otros tipos de esquizofrenia
Otras enfermedades mal definidas cardiacas|Otros tipos de esquizofrenia
Trastornos reumáticos tanto de la válvula mitral como de la aórtica|Otros tipos de esquizofrenia
Insuficiencia ventricular izquierda, no especificada|Otros tipos de esquizofrenia
Insuficiencia mitral reumática|Otros tipos de esquizofrenia
Insuficiencia tricuspídea reumática|Otros tipos de esquizofrenia
Estenosis mitral reumática con insuficiencia |Otros tipos de esquizofrenia
Otra hipertensión pulmonar secundaria|Otros tipos de esquizofrenia
Bulto no especificado de mama|Otros tipos de esquizofrenia
Otras complicaciones y trastornos posprocedimiento del aparato genitourinario|Otros tipos de esquizofrenia
Síndrome poscardiotomía|Otros tipos de esquizofrenia
Insuficiencia cardiaca sistólica (congestiva), no especificada|Otros tipos de esquizofrenia
Presencia de válvula cardiaca protésica|Otros tipos de esquizofrenia
Trastorno del metabolismo de las lipoproteínas, no especificado|Otros tipos de esquizofrenia
Venas varicosas asintomáticas de extremidad inferior no especificada|Otros tipos de esquizofrenia
Sialolitiasis|Otros tipos de esquizofrenia
Mastopatía quística difusa de mama no especificada|Otros tipos de esquizofrenia
Psoriasis vulgar|Otros tipos de esquizofrenia
Catarata no especificada|Otros tipos de esquizofrenia
Hipotensión debida a fármacos|Otros tipos de esquizofrenia
Historia personal de enfermedad ulcerosa péptica|Otros tipos de esquizofrenia
Neoplasia benigna de tejido conjuntivo y otros tejidos blandos de extremidad inferior no especificada, incluyendo cadera|Otros tipos de esquizofrenia
Hemorroides no especificadas|Otros tipos de esquizofrenia
Fractura de bóveda de cráneo, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Hemorragia epidural, con pérdida de conciencia de más de 24 horas sin retorno al nivel de conciencia preexistente, con supervivencia del paciente, contacto inicial|Otros tipos de esquizofrenia
Fractura no especificada de diáfisis de tibia derecha, contacto inicial por fractura abierta tipo I, II o NEOM|Otros tipos de esquizofrenia
Desgarro con cuerpo extraño de cuero cabelludo, contacto inicial|Otros tipos de esquizofrenia
Cálculo de conducto biliar sin colangitis ni colecistitis, con obstrucción|Otros tipos de esquizofrenia
Espasmo de la laringe|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con otro tipo de colecistitis sin obstrucción|Otros tipos de esquizofrenia
Adherencias peritoneales (posprocedimiento) (posinfección)|Otros tipos de esquizofrenia
Rivalidad entre hermanos|Otros tipos de esquizofrenia
Episodio maníaco sin síntomas psicóticos, moderado|Otros tipos de esquizofrenia
Alteración de personalidad debida a afección fisiológica conocida|Otros tipos de esquizofrenia
Alcoholismo y drogadicción en la familia|Otros tipos de esquizofrenia
Desempleo, no especificado|Trastornos delirantes
Parkinsonismo inducido por neurolépticos|Trastornos delirantes
Conductor de vehículo de transporte pesado lesionado en colisión con vehículo a pedales en un accidente no de tráfico|Trastorno psicótico breve
Otros tipos de hiperlipidemia|Trastorno psicótico breve
Parkinsonismo inducido por neurolépticos|Otros tipos de esquizofrenia
Neoplasia maligna de recto|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de hueso|Otros tipos de esquizofrenia
Neoplasia maligna secundaria de órganos genitales|Otros tipos de esquizofrenia
Absceso anal|Otros tipos de esquizofrenia
Estado de colostomía|Otros tipos de esquizofrenia
Hemangioma de estructuras intraabdominales|Otros tipos de esquizofrenia
Absceso de hígado|Otros tipos de esquizofrenia
Insuficiencia cardiaca diastólica (congestiva), no especificada|Otros tipos de esquizofrenia
Otros tipos especificados de linfoma no Hodgkin, localización no especificada|Otros tipos de esquizofrenia
Encefalopatía metabólica|Otros tipos de esquizofrenia
Otros trastornos de la conducta alimentaria|Otros tipos de esquizofrenia
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Otros tipos de esquizofrenia
Neumonía debida a Staphylococcus aureus sensible a meticilina|Otros tipos de esquizofrenia
Resistencia a penicilinas|Otros tipos de esquizofrenia
Trastorno de personalidad histriónica|Otros tipos de esquizofrenia
Afecciones inflamatorias de los maxilares|Otros tipos de esquizofrenia
Fractura patológica, hombro no especificado, contacto inicial por fractura|Otros tipos de esquizofrenia
Caries dental, no especificada|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de laringe|Otros tipos de esquizofrenia
Estado de traqueostomía|Otros tipos de esquizofrenia
Trastorno de la piel y del tejido subcutáneo relacionado con la radiación, no especificado|Otros tipos de esquizofrenia
Celulitis y absceso de boca|Otros tipos de esquizofrenia
Historia personal de irradiación|Otros tipos de esquizofrenia
Síncope y colapso|Otros tipos de esquizofrenia
Paro cardiaco, causa no especificada|Otros tipos de esquizofrenia
Síndrome neuroléptico maligno|Otros tipos de esquizofrenia
Historia personal de infecciones del tracto urinario|Otros tipos de esquizofrenia
Cálculo de vesícula biliar con colecistitis aguda sin obstrucción|Otros tipos de esquizofrenia
Neoplasia maligna de cuadrante superior externo de mama femenina, lado no especificado|Otros tipos de esquizofrenia
Carcinoma in situ de tipo no especificado de mama no especificada|Otros tipos de esquizofrenia
Historia familiar de epilepsia y otras enfermedades del sistema nervioso|Otros tipos de esquizofrenia
Síndrome nefrótico con cambios morfológicos no especificados|Otros tipos de esquizofrenia
Tenesmo vesical|Otros tipos de esquizofrenia
Efecto tóxico de cobre y sus compuestos, accidental (no intencionado), contacto inicial|Otros tipos de esquizofrenia
Enfermedad de Alzheimer, no especificada|Trastornos delirantes
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, con alteración del comportamiento|Trastornos delirantes
Hiperlipidemia mixta|Trastornos delirantes
Artrosis de cadera no especificada|Trastornos delirantes
Conmoción sin pérdida de conciencia, contacto inicial|Otros tipos de esquizofrenia
Fractura de una costilla, lado no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Contusión de pulmón no especificado, contacto inicial|Otros tipos de esquizofrenia
Infarto cerebral debido a embolia de arteria carótida no especificada|Otros tipos de esquizofrenia
Uropatía obstructiva y por reflujo, no especificada|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de próstata|Otros tipos de esquizofrenia
Ausencia adquirida de otras partes del tracto urinario|Otros tipos de esquizofrenia
Ausencia adquirida de otro (-s) órgano (-s) genital (-es)|Otros tipos de esquizofrenia
Estado de otros estomas artificiales del tracto urinario|Otros tipos de esquizofrenia
Historia personal de quimioterapia antineoplásica|Otros tipos de esquizofrenia
Uso prolongado (actual) de aspirina|Otros tipos de esquizofrenia
Otra complicación mecánica de catéter de cistostomía, contacto inicial|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de vejiga|Otros tipos de esquizofrenia
Rabdomiolisis|Otros tipos de esquizofrenia
Hepatopatía tóxica con hepatitis, no clasificada bajo otro concepto|Otros tipos de esquizofrenia
Fractura no especificada de extremo inferior de radio no especificado, contacto inicial por fractura cerrada|Otros tipos de esquizofrenia
Trastorno de personalidad obsesivo-compulsivo|Otros tipos de esquizofrenia
Infarto agudo de miocardio sin elevación de ST (IAMSEST) (IMNEST) (NSTEMI) |Otros tipos de esquizofrenia
Oclusión total crónica de arteria coronaria|Otros tipos de esquizofrenia
Infarto de miocardio antiguo|Otros tipos de esquizofrenia
Shock cardiogénico|Otros tipos de esquizofrenia
Bloqueo de rama derecha no especificado|Otros tipos de esquizofrenia
Hiposmolaridad e hiponatremia|Otros tipos de esquizofrenia
Discapacidad intelectual moderada|Otros tipos de esquizofrenia
Infarto agudo de miocardio con elevación de ST (IAMCEST) (IMEST) (STEMI) con implicación de otra arteria coronaria de la cara anterior|Otros tipos de esquizofrenia
Hepatitis vírica crónica tipo B, sin agente delta|Otros tipos de esquizofrenia
Venas varicosas de extremidad inferior no especificada con inflamación|Otros tipos de esquizofrenia
Hallazgo de otras sustancias especificadas, que no se encuentran normalmente en sangre|Otros tipos de esquizofrenia
Gangrena y necrosis pulmonar|Otros tipos de esquizofrenia
Adenomegalia, no especificada|Otros tipos de esquizofrenia
Traumatismo de vaso sanguíneo no especificado a nivel del cuello, secuela|Otros tipos de esquizofrenia
Traumatismo intracraneal no especificado, con pérdida de conciencia de duración no especificada, secuela|Otros tipos de esquizofrenia
Abuso de opiáceos, sin complicaciones|Otros tipos de esquizofrenia
Aterosclerosis cerebral|Otros tipos de esquizofrenia
Historia personal de neoplasia maligna de mama|Otros tipos de esquizofrenia
Ausencia adquirida de mama y pezón no especificados|Otros tipos de esquizofrenia
Ciclista no especificado lesionado en colisión con vehículo motorizado de dos o tres ruedas en un accidente no de tráfico|Otros tipos de esquizofrenia
Obesidad mórbida (severa) por exceso de calorías|Otros tipos de esquizofrenia
Trastorno de personalidad, no especificado|Otros tipos de esquizofrenia
Desmielinización central del cuerpo calloso|Otros tipos de esquizofrenia
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, con alteración del comportamiento|Otros tipos de esquizofrenia
Dependencia de alcohol, sin complicaciones|Otros tipos de esquizofrenia
Polidipsia|Otros tipos de esquizofrenia
Convulsiones no especificadas|Otros tipos de esquizofrenia
Otros trastornos del metabolismo de las proteínas plasmáticas no clasificados bajo otro concepto|Trastornos delirantes
Historia personal de tromboflebitis|Trastornos delirantes
Trastorno límite de personalidad|Otros tipos de esquizofrenia
Dolor abdominal generalizado|Trastorno psicótico breve
Historia personal de tuberculosis|Trastorno psicótico breve
Pitiriasis rubra pilaris|Trastorno esquizoide de personalidad
Somnolencia|Trastorno esquizoide de personalidad
