source|target
Dependencia de nicotina, otro producto de tabaco, sin complicaciones|Esquizofrenia
Abuso de inhalantes, sin complicaciones|Otros tipos de esquizofrenia
Abuso de otra sustancia psicoactiva, sin complicaciones|Trastornos delirantes
Abuso de otra sustancia psicoactiva, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de otra sustancia psicoactiva, sin complicaciones|Otros tipos de esquizofrenia
Dependencia de otra sustancia psicoactiva, en remisión|Esquizofrenia
Dependencia de otra sustancia psicoactiva, en remisión|Otros tipos de esquizofrenia
Dependencia de otra sustancia psicoactiva, en remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de otra sustancia psicoactiva, con abstinencia sin complicaciones|Trastornos esquizoafectivos
Dependencia de otra sustancia psicoactiva, con otro trastorno inducido por sustancias psicoactivas|Esquizofrenia
Consumo de otra sustancia psicoactiva no especificado, con intoxicación y delirio|Otros tipos de esquizofrenia
Consumo de otra sustancia psicoactiva, no especificado, con trastorno psicótico con ideas delirantes inducido por sustancias psicoactivas|Otros tipos de esquizofrenia
Consumo de otra sustancia psicoactiva, no especificado, con demencia persistente inducida por sustancias psicoactivas|Trastorno esquizoide de personalidad
Consumo de otra sustancia psicoactiva, no especificado, con trastorno no especificado inducido por sustancias psicoactivas|Otros tipos de esquizofrenia
Esquizofrenia paranoide|Esquizofrenia
Esquizofrenia paranoide|Otros tipos de esquizofrenia
Esquizofrenia desorganizada|Esquizofrenia
Esquizofrenia desorganizada|Otros tipos de esquizofrenia
Esquizofrenia catatónica|Esquizofrenia
Esquizofrenia catatónica|Otros tipos de esquizofrenia
Esquizofrenia indiferenciada|Esquizofrenia
Esquizofrenia residual|Esquizofrenia
Esquizofrenia residual|Otros tipos de esquizofrenia
Trastorno esquizofreniforme|Esquizofrenia
Trastorno esquizofreniforme|Otros tipos de esquizofrenia
Otros tipos de esquizofrenia|Esquizofrenia
Esquizofrenia, no especificada|Esquizofrenia
Esquizofrenia, no especificada|Otros tipos de esquizofrenia
Trastorno esquizotípico|Trastorno esquizoide de personalidad
Trastorno esquizoafectivo, tipo bipolar|Trastornos esquizoafectivos
Trastorno esquizoafectivo, tipo depresivo|Trastornos esquizoafectivos
Trastorno esquizoafectivo, no especificado|Otros tipos de esquizofrenia
Trastorno esquizoafectivo, no especificado|Trastornos esquizoafectivos
Episodio maníaco sin síntomas psicóticos, moderado|Otros tipos de esquizofrenia
Episodio maníaco, grave, con síntomas psicóticos|Trastornos delirantes
Episodio maníaco, no especificado|Esquizofrenia
Trastorno bipolar, episodio actual maníaco, sin rasgos psicóticos, no especificado|Esquizofrenia
Trastorno bipolar, episodio actual maníaco, grave, con rasgos psicóticos|Otros tipos de esquizofrenia
Trastorno bipolar, episodio actual depresivo, gravedad leve o moderada, no especificado|Esquizofrenia
Trastorno bipolar, episodio actual mixto, grave, con rasgos psicóticos|Otros tipos de esquizofrenia
Trastorno bipolar, no especificado|Esquizofrenia
Trastorno bipolar, no especificado|Otros tipos de esquizofrenia
Trastorno bipolar, no especificado|Trastornos delirantes
Trastorno bipolar, no especificado|Trastornos esquizoafectivos
Trastorno bipolar, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno depresivo mayor, episodio único, moderado|Otros tipos de esquizofrenia
Trastorno depresivo mayor, episodio único, moderado|Trastornos delirantes
Trastorno depresivo mayor, episodio único, grave con síntomas psicóticos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno depresivo mayor, episodio único, no especificado|Esquizofrenia
Trastorno depresivo mayor, episodio único, no especificado|Otros tipos de esquizofrenia
Trastorno depresivo mayor, episodio único, no especificado|Trastornos delirantes
Trastorno depresivo mayor, episodio único, no especificado|Trastornos esquizoafectivos
Trastorno depresivo mayor, episodio único, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno depresivo mayor, episodio único, no especificado|Trastorno esquizoide de personalidad
Trastorno depresivo mayor, recurrente grave con síntomas psicóticos|Trastornos delirantes
Trastorno depresivo mayor, recurrente, no especificado|Trastorno esquizoide de personalidad
Trastorno distímico|Esquizofrenia
Trastorno distímico|Otros tipos de esquizofrenia
Trastorno distímico|Trastornos delirantes
Trastorno del estado de ánimo [afectivo], no especificado|Esquizofrenia
Fobia social, no especificada|Trastorno esquizoide de personalidad
Trastorno de ansiedad generalizada|Trastornos delirantes
Otros trastornos de ansiedad especificados|Esquizofrenia
Otros trastornos de ansiedad especificados|Trastornos delirantes
Otros trastornos de ansiedad especificados|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de ansiedad, no especificado|Esquizofrenia
Trastorno de ansiedad, no especificado|Otros tipos de esquizofrenia
Trastorno de ansiedad, no especificado|Trastornos delirantes
Trastorno de ansiedad, no especificado|Trastornos esquizoafectivos
Trastorno de ansiedad, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno obsesivo-compulsivo|Otros tipos de esquizofrenia
Trastorno obsesivo-compulsivo|Trastornos delirantes
Trastorno obsesivo-compulsivo|Trastorno esquizoide de personalidad
Trastorno de acaparamiento compulsivo|Trastornos delirantes
Trastorno obsesivo-compulsivo, no especificado|Esquizofrenia
Trastorno obsesivo-compulsivo, no especificado|Trastornos delirantes
Trastorno obsesivo-compulsivo, no especificado|Trastornos esquizoafectivos
Trastorno obsesivo-compulsivo, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Reacción aguda de estrés|Otros tipos de esquizofrenia
Reacción aguda de estrés|Trastorno esquizoide de personalidad
Trastorno por estrés postraumático, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno adaptativo, no especificado|Otros tipos de esquizofrenia
Trastorno adaptativo, no especificado|Trastornos delirantes
Trastorno adaptativo, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno adaptativo con estado de ánimo depresivo|Esquizofrenia
Trastorno adaptativo mixto, con ansiedad y depresión|Otros tipos de esquizofrenia
Trastorno adaptativo mixto, con ansiedad y depresión|Trastornos delirantes
Trastorno de conversión con síntoma o déficit motor|Trastornos esquizoafectivos
Otros tipos de trastornos disociativos y de conversión|Esquizofrenia
Otros tipos de trastornos disociativos y de conversión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno disociativo y de conversión, no especificado|Esquizofrenia
Trastorno disociativo y de conversión, no especificado|Trastornos delirantes
Trastorno disociativo y de conversión, no especificado|Trastorno psicótico breve
Trastorno disociativo y de conversión, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de somatización|Esquizofrenia
Trastorno de somatización|Trastornos delirantes
Anorexia nerviosa, no especificada|Trastorno esquizoide de personalidad
Bulimia nerviosa|Otros tipos de esquizofrenia
Otros trastornos de la conducta alimentaria|Otros tipos de esquizofrenia
Otros trastornos especificados de la conducta alimentaria|Trastornos delirantes
Insomnio debido a otro trastorno mental|Esquizofrenia
Insomnio debido a otro trastorno mental|Trastornos esquizoafectivos
Trastorno de personalidad paranoide|Esquizofrenia
Trastorno de personalidad paranoide|Otros tipos de esquizofrenia
Trastorno de personalidad paranoide|Trastorno esquizotípico
Trastorno de personalidad paranoide|Trastornos delirantes
Trastorno de personalidad paranoide|Trastorno psicótico breve
Trastorno de personalidad paranoide|Trastornos esquizoafectivos
Trastorno esquizoide de personalidad|Esquizofrenia
Trastorno esquizoide de personalidad|Trastorno esquizotípico
Trastorno esquizoide de personalidad|Trastornos esquizoafectivos
Trastorno esquizoide de personalidad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad antisocial|Esquizofrenia
Trastorno de personalidad antisocial|Otros tipos de esquizofrenia
Trastorno de personalidad antisocial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno límite de personalidad|Esquizofrenia
Trastorno límite de personalidad|Otros tipos de esquizofrenia
Trastorno límite de personalidad|Trastornos delirantes
Trastorno límite de personalidad|Trastornos esquizoafectivos
Trastorno límite de personalidad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad histriónica|Esquizofrenia
Trastorno de personalidad histriónica|Otros tipos de esquizofrenia
Trastorno de personalidad histriónica|Trastornos delirantes
Trastorno de personalidad histriónica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad obsesivo-compulsivo|Otros tipos de esquizofrenia
Trastorno de personalidad obsesivo-compulsivo|Trastornos delirantes
Trastorno de personalidad obsesivo-compulsivo|Trastorno psicótico breve
Trastorno de personalidad obsesivo-compulsivo|Trastornos esquizoafectivos
Trastorno de personalidad obsesivo-compulsivo|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad evitativa|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad dependiente|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad narcisista|Trastornos delirantes
Trastorno de personalidad narcisista|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de trastornos específicos de personalidad|Esquizofrenia
Otros tipos de trastornos específicos de personalidad|Otros tipos de esquizofrenia
Otros tipos de trastornos específicos de personalidad|Trastornos delirantes
Otros tipos de trastornos específicos de personalidad|Trastorno psicótico breve
Otros tipos de trastornos específicos de personalidad|Trastornos esquizoafectivos
Otros tipos de trastornos específicos de personalidad|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de personalidad, no especificado|Esquizofrenia
Trastorno de personalidad, no especificado|Otros tipos de esquizofrenia
Trastorno de personalidad, no especificado|Trastornos delirantes
Trastorno de personalidad, no especificado|Trastorno psicótico breve
Trastorno de personalidad, no especificado|Trastornos esquizoafectivos
Trastorno de personalidad, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Ludopatía|Otros tipos de esquizofrenia
Trastorno de identidad sexual, no especificado|Trastornos esquizoafectivos
Otros trastornos específicos de personalidad y comportamiento del adulto|Trastorno esquizotípico
Discapacidad intelectual leve|Esquizofrenia
Discapacidad intelectual leve|Otros tipos de esquizofrenia
Discapacidad intelectual leve|Trastornos delirantes
Discapacidad intelectual leve|Trastorno psicótico breve
Discapacidad intelectual leve|Trastornos esquizoafectivos
Discapacidad intelectual leve|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Discapacidad intelectual moderada|Esquizofrenia
Discapacidad intelectual moderada|Otros tipos de esquizofrenia
Discapacidad intelectual moderada|Trastornos delirantes
Discapacidad intelectual moderada|Trastornos esquizoafectivos
Discapacidad intelectual moderada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Discapacidad intelectual grave|Esquizofrenia
Discapacidad intelectual no especificada|Esquizofrenia
Discapacidad intelectual no especificada|Otros tipos de esquizofrenia
Discapacidad intelectual no especificada|Trastorno esquizotípico
Discapacidad intelectual no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno específico del desarrollo de la función motora|Esquizofrenia
Trastorno autista|Esquizofrenia
Síndrome de Asperger|Esquizofrenia
Síndrome de Asperger|Otros tipos de esquizofrenia
Síndrome de Asperger|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno por déficit de atención con hiperactividad, tipo no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de conducta, no especificado|Esquizofrenia
Trastorno de conducta, no especificado|Otros tipos de esquizofrenia
Trastorno de conducta, no especificado|Trastornos delirantes
Trastorno de conducta, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de Tourette|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad de Parkinson|Esquizofrenia
Enfermedad de Parkinson|Otros tipos de esquizofrenia
Enfermedad de Parkinson|Trastornos delirantes
Enfermedad de Parkinson|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Síndrome neuroléptico maligno|Esquizofrenia
Síndrome neuroléptico maligno|Otros tipos de esquizofrenia
Parkinsonismo inducido por neurolépticos|Otros tipos de esquizofrenia
Parkinsonismo inducido por neurolépticos|Trastorno esquizotípico
Parkinsonismo inducido por neurolépticos|Trastornos delirantes
Parkinsonismo secundario inducido por otros fármacos|Trastornos delirantes
Parkinsonismo secundario inducido por otros fármacos|Trastornos esquizoafectivos
Parkinsonismo secundario inducido por otros fármacos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Discinesia subaguda inducida por fármacos|Otros tipos de esquizofrenia
Discinesia subaguda inducida por fármacos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Distonía aguda inducida por fármacos|Otros tipos de esquizofrenia
Otras distonías|Trastornos esquizoafectivos
Distonía, no especificada|Trastornos esquizoafectivos
Temblor esencial|Esquizofrenia
Temblor esencial|Otros tipos de esquizofrenia
Temblor esencial|Trastornos delirantes
Temblor esencial|Trastornos esquizoafectivos
Temblor inducido por fármacos|Trastornos esquizoafectivos
Otros trastornos del movimiento inducidos por fármacos|Trastornos esquizoafectivos
Síndrome de piernas inquietas|Esquizofrenia
Síndrome de piernas inquietas|Trastornos delirantes
Otros trastornos extrapiramidales y del movimiento especificados|Otros tipos de esquizofrenia
Otros trastornos extrapiramidales y del movimiento especificados|Trastornos delirantes
Trastorno extrapiramidal y del movimiento, no especificado|Otros tipos de esquizofrenia
Trastorno extrapiramidal y del movimiento, no especificado|Trastornos delirantes
Enfermedad de Alzheimer de comienzo tardío|Trastornos delirantes
Enfermedad de Alzheimer, no especificada|Esquizofrenia
Enfermedad de Alzheimer, no especificada|Otros tipos de esquizofrenia
Enfermedad de Alzheimer, no especificada|Trastornos delirantes
Enfermedad de Alzheimer, no especificada|Trastornos esquizoafectivos
Enfermedad de Alzheimer, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otro trastorno neurocognitivo frontotemporal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno neurocognitivo por cuerpos de Lewy|Esquizofrenia
Trastorno neurocognitivo por cuerpos de Lewy|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Deterioro cognitivo leve de etiología incierta o desconocida|Esquizofrenia
Deterioro cognitivo leve de etiología incierta o desconocida|Otros tipos de esquizofrenia
Deterioro cognitivo leve de etiología incierta o desconocida|Trastornos delirantes
Deterioro cognitivo leve de etiología incierta o desconocida|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras enfermedades degenerativas especificadas del sistema nervioso|Esquizofrenia
Enfermedad degenerativa del sistema nervioso, no especificada|Otros tipos de esquizofrenia
Enfermedad degenerativa del sistema nervioso, no especificada|Trastornos delirantes
Enfermedad degenerativa del sistema nervioso, no especificada|Trastornos esquizoafectivos
Esclerosis múltiple|Esquizofrenia
Esclerosis múltiple|Otros tipos de esquizofrenia
Esclerosis múltiple|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Desmielinización central del cuerpo calloso|Otros tipos de esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, con estado de mal epiléptico|Otros tipos de esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, con estado de mal epiléptico|Trastornos delirantes
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, sin estado de mal epiléptico|Esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, sin estado de mal epiléptico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales complejas, no intratable, con estado de mal epiléptico|Otros tipos de esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales complejas, no intratable, con estado de mal epiléptico|Trastornos delirantes
Epilepsia y síndromes epilépticos generalizados idiopáticos, no intratables, con estado de mal epiléptico|Otros tipos de esquizofrenia
Epilepsia y síndromes epilépticos generalizados idiopáticos, no intratables, sin estado de mal epiléptico|Otros tipos de esquizofrenia
Epilepsia y síndromes epilépticos generalizados idiopáticos, no intratables, sin estado de mal epiléptico|Trastorno esquizoide de personalidad
Epilepsia y otros síndromes epilépticos generalizados, no intratables, sin estado de mal epiléptico|Esquizofrenia
Epilepsia y otros síndromes epilépticos generalizados, no intratables, sin estado de mal epiléptico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Esquizofrenia
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Otros tipos de esquizofrenia
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Trastornos delirantes
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Trastorno psicótico breve
Epilepsia, no especificada, no intratable, con estado de mal epiléptico|Trastorno esquizoide de personalidad
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Esquizofrenia
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Trastornos delirantes
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Trastornos esquizoafectivos
Epilepsia, no especificada, no intratable, sin estado de mal epiléptico|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Cefalea tensional, no especificada, no intratable|Esquizofrenia
Cefalea tensional, no especificada, no intratable|Otros tipos de esquizofrenia
Cefalea tensional crónica, no intratable|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros accidentes isquémicos transitorios y síndromes afines|Otros tipos de esquizofrenia
Insomnio, no especificado|Trastorno psicótico breve
Insomnio, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipersomnia, no especificada|Esquizofrenia
Apnea del sueño, no especificada|Otros tipos de esquizofrenia
Apnea obstructiva del sueño (del adulto) (pediátrica)|Esquizofrenia
Apnea obstructiva del sueño (del adulto) (pediátrica)|Otros tipos de esquizofrenia
Apnea obstructiva del sueño (del adulto) (pediátrica)|Trastornos delirantes
Apnea obstructiva del sueño (del adulto) (pediátrica)|Trastornos esquizoafectivos
Apnea obstructiva del sueño (del adulto) (pediátrica)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Paralisis del sueño aislada recurrente|Trastorno esquizotípico
Otros trastornos del sueño|Otros tipos de esquizofrenia
Parálisis de Bell|Otros tipos de esquizofrenia
Otros trastornos del nervio facial|Esquizofrenia
Síndrome del túnel carpiano, extremidad superior no especificada|Otros tipos de esquizofrenia
Síndrome del túnel carpiano, extremidad superior izquierda|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Síndrome del túnel carpiano, ambas extremidades superiores|Trastornos delirantes
Otras lesiones del nervio mediano, extremidad superior no especificada|Otros tipos de esquizofrenia
Lesión de nervio cubital, extremidad superior no especificada|Otros tipos de esquizofrenia
Lesión de nervio cubital, extremidad superior izquierda|Esquizofrenia
Neuropatía hereditaria e idiopática, no especificada|Otros tipos de esquizofrenia
Parálisis cerebral espástica dipléjica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Parálisis cerebral, no especificada|Otros tipos de esquizofrenia
Parálisis cerebral, no especificada|Trastornos esquizoafectivos
Hemiplejia no especificada que afecta a lado no especificado|Otros tipos de esquizofrenia
Hemiplejia no especificada que afecta a lado derecho dominante|Esquizofrenia
Hemiplejia no especificada que afecta a lado derecho dominante|Otros tipos de esquizofrenia
Hemiplejia no especificada que afecta a lado derecho no dominante|Otros tipos de esquizofrenia
Hemiplejia no especificada que afecta a lado derecho no dominante|Trastorno psicótico breve
Hemiplejia no especificada que afecta a lado izquierdo no dominante|Esquizofrenia
Paraplejia, no especificada|Esquizofrenia
Paraplejia, no especificada|Otros tipos de esquizofrenia
Paraplejia, no especificada|Trastornos esquizoafectivos
Paraplejia completa|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Tetraplejia, no especificada|Otros tipos de esquizofrenia
Síndrome de Brown-Séquard|Trastornos delirantes
Dolor (agudo) (crónico) relacionado con neoplasia|Otros tipos de esquizofrenia
Dolor (agudo) (crónico) relacionado con neoplasia|Trastornos delirantes
Dolor (agudo) (crónico) relacionado con neoplasia|Trastornos esquizoafectivos
Hidrocefalia obstructiva|Otros tipos de esquizofrenia
Hidrocefalia normotensiva (idiopática)|Otros tipos de esquizofrenia
Hidrocefalia, no especificada|Esquizofrenia
Encefalopatía tóxica|Esquizofrenia
Quistes cerebrales|Otros tipos de esquizofrenia
Quistes cerebrales|Trastorno psicótico breve
Lesión cerebral anóxica, no clasificada bajo otro concepto|Esquizofrenia
Hipertensión intracraneal benigna|Otros tipos de esquizofrenia
Encefalopatía, no especificada|Esquizofrenia
Encefalopatía, no especificada|Otros tipos de esquizofrenia
Encefalopatía metabólica|Esquizofrenia
Encefalopatía metabólica|Otros tipos de esquizofrenia
Encefalopatía metabólica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de encefalopatía|Esquizofrenia
Otros tipos de encefalopatía|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Compresión del cerebro|Trastorno psicótico breve
Edema cerebral|Esquizofrenia
Esclerosis temporal|Otros tipos de esquizofrenia
Otros trastornos especificados del cerebro|Esquizofrenia
Otros trastornos especificados del cerebro|Trastornos delirantes
Otros trastornos del cerebro en enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Siringomielia y siringobulbia|Trastorno esquizoide de personalidad
Infarto agudo de médula espinal (embólico) (no embólico)|Esquizofrenia
Enfermedades de la médula espinal, no especificadas|Trastornos delirantes
Fuga de líquido cefalorraquídeo|Esquizofrenia
Fuga de líquido cefalorraquídeo|Otros tipos de esquizofrenia
Otra reacción a punción espinal y lumbar|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Mielopatía en enfermedades clasificadas bajo otro concepto|Otros tipos de esquizofrenia
Otros trastornos especificados de córnea, ojo no especificado |Trastornos delirantes
Iridociclitis no especificada|Trastorno esquizoide de personalidad
Catarata senil, no especificada|Esquizofrenia
Catarata senil, no especificada|Otros tipos de esquizofrenia
Catarata senil, no especificada|Trastornos delirantes
Catarata no especificada infantil y juvenil, ojo no especificado |Otros tipos de esquizofrenia
Catarata no especificada|Esquizofrenia
Catarata no especificada|Otros tipos de esquizofrenia
Desprendimiento de retina seroso, ojo no especificado |Trastornos delirantes
Retinopatía de fondo no especificada|Otros tipos de esquizofrenia
Retinopatía hipertensiva, ojo no especificado |Otros tipos de esquizofrenia
Distrofia retiniana hereditaria no especificada|Esquizofrenia
Distrofia retiniana pigmentaria|Esquizofrenia
Hipertensión ocular, ojo no especificado|Esquizofrenia
Glaucoma no especificado|Esquizofrenia
Glaucoma no especificado|Otros tipos de esquizofrenia
Glaucoma no especificado|Trastornos delirantes
Glaucoma no especificado|Trastornos esquizoafectivos
Glaucoma no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hemorragia de vítreo, bilateral |Otros tipos de esquizofrenia
Endoftalmitis purulenta no especificada, ojo no especificado |Esquizofrenia
Panuveítis, bilateral |Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Miopía degenerativa, ojo no especificado |Esquizofrenia
Miopía degenerativa, bilateral |Trastornos delirantes
Parálisis del tercer nervio craneal [oculomotor], ojo no especificado |Otros tipos de esquizofrenia
Estrabismo paralítico no especificado|Esquizofrenia
Oftalmoplejia internuclear, ojo no especificado |Otros tipos de esquizofrenia
Otros trastornos especificados del movimiento binocular|Esquizofrenia
Diplopía|Otros tipos de esquizofrenia
Defectos de campos homónimos bilaterales, lado izquierdo |Esquizofrenia
Defectos de campos heterónimos bilaterales|Otros tipos de esquizofrenia
Ceguera, ambos ojos|Esquizofrenia
Ceguera, ambos ojos|Otros tipos de esquizofrenia
Ceguera, ambos ojos|Trastornos delirantes
Ceguera, un ojo, baja visión en el otro ojo, ojo no especificado|Otros tipos de esquizofrenia
Ceguera, un ojo, baja visión en el otro ojo, ojo no especificado|Trastornos delirantes
Ceguera, un ojo, ojo no especificado|Esquizofrenia
Ceguera, ojo derecho, visión normal en ojo izquierdo|Esquizofrenia
Pérdida de visión sin calificar, un ojo, no especificado|Otros tipos de esquizofrenia
Pérdida de visión sin calificar, un ojo, no especificado|Trastornos delirantes
Pérdida de visión sin calificar, ojo izquierdo, visión normal en ojo derecho|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dolor ocular, ojo derecho |Esquizofrenia
Trastorno no especificado de la función vestibular, oído no especificado|Trastornos delirantes
Trastorno no especificado de la función vestibular, bilateral|Otros tipos de esquizofrenia
Trastorno no especificado de la función vestibular, bilateral|Trastornos delirantes
Pérdida auditiva neurosensorial no especificada|Esquizofrenia
Pérdida auditiva neurosensorial no especificada|Trastornos delirantes
Hipoacusia mixta, conductiva y neurosensorial, no especificada|Esquizofrenia
Presbiacusia, bilateral|Trastornos delirantes
Sordomudez, no clasificada bajo otro concepto|Esquizofrenia
Pérdida de audición no especificada, oído no especificado|Esquizofrenia
Pérdida de audición no especificada, oído no especificado|Otros tipos de esquizofrenia
Pérdida de audición no especificada, oído no especificado|Trastornos delirantes
Pérdida de audición no especificada, oído no especificado|Trastornos esquizoafectivos
Pérdida de audición no especificada, oído no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Pérdida de audición no especificada, bilateral|Esquizofrenia
Pérdida de audición no especificada, bilateral|Trastornos delirantes
Estenosis mitral reumática|Otros tipos de esquizofrenia
Insuficiencia mitral reumática|Otros tipos de esquizofrenia
Estenosis mitral reumática con insuficiencia |Otros tipos de esquizofrenia
Estenosis mitral reumática con insuficiencia |Trastornos delirantes
Insuficiencia aórtica reumática|Trastornos delirantes
Insuficiencia tricuspídea reumática|Esquizofrenia
Insuficiencia tricuspídea reumática|Otros tipos de esquizofrenia
Insuficiencia tricuspídea reumática|Trastornos delirantes
Trastornos reumáticos tanto de la válvula mitral como de la aórtica|Esquizofrenia
Trastornos reumáticos tanto de la válvula mitral como de la aórtica|Otros tipos de esquizofrenia
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide|Esquizofrenia
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide|Trastornos delirantes
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras enfermedades reumáticas valvulares múltiples|Otros tipos de esquizofrenia
Insuficiencia cardiaca reumática|Otros tipos de esquizofrenia
Hipertensión esencial (primaria)|Esquizofrenia
Hipertensión esencial (primaria)|Otros tipos de esquizofrenia
Hipertensión esencial (primaria)|Trastornos delirantes
Hipertensión esencial (primaria)|Trastorno psicótico breve
Hipertensión esencial (primaria)|Trastornos esquizoafectivos
Hipertensión esencial (primaria)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipertensión esencial (primaria)|Trastorno esquizoide de personalidad
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Esquizofrenia
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Otros tipos de esquizofrenia
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Trastornos delirantes
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca|Esquizofrenia
Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca|Otros tipos de esquizofrenia
Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca|Trastornos delirantes
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal|Esquizofrenia
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal|Otros tipos de esquizofrenia
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Esquizofrenia
